customer_id,country,pep,registration_date,unusual_wealth
9247940e,US,False,2025-02-02 19:17:27.669714,True
3808c50d,SY,False,2025-06-28 19:17:27.669746,False
629632bd,NL,False,2024-05-17 19:17:27.669757,False
39860a67,AE,False,2025-03-11 19:17:27.669764,False
524db98a,ES,False,2026-01-05 19:17:27.669770,False
7e908462,NL,False,2024-09-08 19:17:27.669776,False
3a38a937,IR,False,2025-09-27 19:17:27.669781,False
d4c44271,AF,False,2024-09-01 19:17:27.669786,False
13966f55,IR,False,2024-11-02 19:17:27.669791,False
2eec74bb,IT,False,2024-06-14 19:17:27.669797,False
617034cc,AE,False,2024-12-07 19:17:27.669801,False
b1ae78b9,NL,False,2024-12-09 19:17:27.669806,False
d6f5f072,AF,False,2023-12-19 19:17:27.669810,False
590fe965,IR,False,2023-11-04 19:17:27.669815,False
44de88ad,US,False,2024-06-06 19:17:27.669819,False
b7e6989b,RU,False,2023-11-21 19:17:27.669823,False
31d8bbc2,AF,False,2025-07-30 19:17:27.669828,False
a0c85a86,IR,False,2024-04-24 19:17:27.669833,False
c28adb2f,ES,False,2025-11-25 19:17:27.669837,False
c1b68a41,DE,False,2024-05-25 19:17:27.669841,False
47c47c86,AF,False,2024-03-22 19:17:27.669846,False
cbb7d426,DE,False,2025-06-10 19:17:27.669850,False
1bd70aeb,AE,False,2025-04-09 19:17:27.669854,False
45597a62,PL,True,2025-11-14 19:17:27.669858,False
a34e68e6,IT,False,2023-07-08 19:17:27.669863,False
be34846d,RU,False,2026-03-22 19:17:27.669867,False
43bd5c10,AF,False,2025-01-19 19:17:27.669875,False
1a686023,PL,False,2023-10-14 19:17:27.669880,False
ede20ceb,SY,False,2025-07-19 19:17:27.669885,False
8ef33a60,FR,False,2024-08-29 19:17:27.669889,False
da8713ff,US,True,2023-09-26 19:17:27.669894,False
675d8fdd,ES,False,2023-08-05 19:17:27.669898,False
6a2f094a,FR,False,2024-08-03 19:17:27.669902,False
fc2d7657,FR,False,2024-08-10 19:17:27.669907,False
bc9bf40c,GB,False,2025-09-12 19:17:27.669911,False
66ba5a47,GB,False,2026-01-27 19:17:27.669915,False
0cfe5b1b,RU,False,2024-05-01 19:17:27.669920,False
7c0eaaef,DE,False,2025-01-27 19:17:27.669924,False
